Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0xc09da0b378f6e1c390cb9df6f9fd515d2cd35d83602302af0dc0a4f2c11c9a7f,2024-11-26T19:58:11.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,,647.821942,0.000686615780708143
0xc09da0b378f6e1c390cb9df6f9fd515d2cd35d83602302af0dc0a4f2c11c9a7f,2024-11-26T19:58:11.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xdac17f958d2ee523a2206206994597c13d831ec7,contract interaction,,ETH,,0,0.000686615780708143
0xd84b99c3159d67b2869d340ab39a6b1c2542502fa9e1e516469f8088a1a9eb83,2024-12-20T10:35:59.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,,832.445411,0.002325651538148029
0xd84b99c3159d67b2869d340ab39a6b1c2542502fa9e1e516469f8088a1a9eb83,2024-12-20T10:35:59.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xdac17f958d2ee523a2206206994597c13d831ec7,contract interaction,,ETH,,0,0.002325651538148029
0xdd9f6f4220d80d7c31cce7515ddca79838d83aa2a0f477e7071650ced564bc84,2025-02-14T12:12:59.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,210.469998,0.00006887418337448
0xdd9f6f4220d80d7c31cce7515ddca79838d83aa2a0f477e7071650ced564bc84,2025-02-14T12:12:59.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract interaction,,ETH,,0,0.00006887418337448
0xf63411bd2abb7ecebaf9fe5aafeb6a87d4e565a21d5294335d0da1c7afa8f0d0,2025-02-21T08:02:59.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,591.327346,0.00006503533385154
0xf63411bd2abb7ecebaf9fe5aafeb6a87d4e565a21d5294335d0da1c7afa8f0d0,2025-02-21T08:02:59.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract interaction,,ETH,,0,0.00006503533385154
0xef36052def6ae742a87dc8be51c308b26142b81dd8bd39cf6de39447aeca2afb,2025-04-06T16:54:23.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0x1c147efe3d7da21b03021a6e4ac445c16293e6e1,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,500,0.000067274706954936
0xef36052def6ae742a87dc8be51c308b26142b81dd8bd39cf6de39447aeca2afb,2025-04-06T16:54:23.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract interaction,,ETH,,0,0.000067274706954936
0x42c7dcd7ba5aa2abd32a6e9b0cacc9870a5c7832533a2a8e8658bb1807b60453,2025-06-24T12:26:11.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0x9faa6a020dca7c27dfba8b9e8c7e20e2020ca74c,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,1,0.000178225839140144
0x42c7dcd7ba5aa2abd32a6e9b0cacc9870a5c7832533a2a8e8658bb1807b60453,2025-06-24T12:26:11.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract interaction,,ETH,,0,0.000178225839140144
0x598bbac867a66b55de500d8d2c45916b6993f0de34576682e6c91de147390e9c,2025-06-24T12:26:59.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0x9faa684dee232e94e4707843356fc55f33bda74c,ERC-20,0x90ef1a9d5e1e1de0520fe5d39918662346865167,USDC,,1,0.000093154004990658
0x46513e4b158bc1ef28c1e4349e7dae80f09d7f2ee2f6261b9ff1b45d30fa2597,2025-06-24T12:28:59.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0x9facd1619b4b2ad0c41a545852643b7f020ca74c,ERC-20,0x011c5b3323e54e821589ab5d6284e0ce564fa25c,USDC,,1,0.000265068686793376
0xb17c4125b30a5319d39cb8e93e7d5f703841de9c90991aa84b24d6d9ba6f4ec6,2025-06-24T12:39:23.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xf40aa101a77382162036e8154f2eb2324bce0f17,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,1,0.000201318481045536
0xb17c4125b30a5319d39cb8e93e7d5f703841de9c90991aa84b24d6d9ba6f4ec6,2025-06-24T12:39:23.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract interaction,,ETH,,0,0.000201318481045536
0x5d8015dd60d2343f506736adc1e0fa51929f4c9138b5f1b87a012481028705af,2025-06-24T12:39:59.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xf40aef9069e50c112e5e0909c7d8d4a001420f17,ERC-20,0x90ef1a9d5e1e1de0520fe5d39918662346865167,USDC,,1,0.000111997236360228
0x4f5af77b548671dfcbaf76e25b85e6a26cda4f7536b44ff3dee6e043a692b428,2025-06-24T12:41:23.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xf40f51a46e81191ff2409c25e18f9d313cce0f17,ERC-20,0x011c5b3323e54e821589ab5d6284e0ce564fa25c,USDC,,1,0.00025056991745097
